username,follower_count
acdc,576120
tameimpala,611895
interpol,203918
alesso,2028432
alabama_shakes,156495
rideox4,36120
nerouk,359886
flyinglotus,511937
ghostfacekillah,862534
lykkeli,105918
djsnake,1822107
porterrobinson,711669
caribouband,141477
toddterjeolsen,17525
angusjuliastone,47331
theweeknd,17198256
axwell,1515636
alt_j,433556
ratatatmusic,23238
hozier,1027195
flosstradamus,211031
badreligion,167145
sbtrkt,136726
fkatwigs,463208
tylerthecreator,9788576
thewarondrugs,74229
deorro,353513
runjewels,203629
kasabianhq,349133
milkychance,73784
drake,39302259
florencemachine,997816
kaskade,1058672
theryanadams,678287
davidguetta,19542984
st_vincent,964873
bn_music,201187
madeon,578299
stromae,2228972
kygomusic,461326
odesza,218312
rac,59389
circasurvive,73725
jennylewis,117553
desaband,10082
